employee_id,name,age,salary
0,Patrick Becker,9,21229
1,Eric Zuniga,58,30834
2,Blake Andrade,40,46835
3,Taylor Peterson,58,17512
4,Karen Morgan,18,36340
5,Brian Stephenson,44,93074
6,Vincent Fischer,29,53631
7,Gary Howard,97,18814
8,Brian Nguyen,32,77739
9,Michael Chavez,90,98270
10,Brooke Williams,32,66913
11,Bonnie Bennett,86,7922
12,Michelle Green,2,6144
13,Shawn Owen,100,92859
14,Kevin Bolton,54,39362
15,Erika Hicks,35,28920
16,Amy Long,23,29596
17,Jasmin Lee,52,44743
18,John Diaz,97,48213
19,Maureen Montgomery,28,8621
20,Adam Martin,73,24407
21,Dr. Steven Ortiz,16,29567
22,Melissa Bell,16,89137
23,Melinda Scott,95,35572
24,Allen Berry,51,68262
25,Jocelyn Roman,46,96634
26,Dana Adams,89,58153
27,Tara Rios,46,18630
28,Frederick Garcia,30,4987
29,Roger Lane,25,31117
30,Willie Rios,48,8748
31,Steven Richard,4,34825
32,Karen Dunn,73,3897
33,Gregory Perez,91,2096
34,Jessica Mcbride,58,10500
35,Katherine Caldwell,99,27323
36,Derek Forbes,7,30444
37,Kim Martinez,2,7653
38,Christopher Ellison,11,52249
39,Robert Mueller,85,6984
40,Jennifer Jones,45,85351
41,Chris Rodriguez,87,14032
42,Gerald Barber,89,4005
43,Nicole Bradshaw,24,42972
44,Debra Perry,26,80849
45,David Johnson,17,51956
46,Cole Miller,84,9659
47,Thomas Beck,38,13245
48,Andrea Smith,32,97753
49,Amanda James,76,58270
50,Rachel Rojas,74,56311
51,Ricky Mcintosh,34,7153
52,Mr. Thomas Williams,96,97525
53,Judith Haney,58,21148
54,Larry Reese,93,9898
55,Monica Harris,52,6545
56,Laura Gardner,9,27143
57,Rachel Shah,76,77537
58,Charles Rodgers,13,11197
59,April Jones,8,46334
60,Jorge Harrington,75,33696
61,Noah Griffin,77,29184
62,Scott Harvey,93,60272
63,Mr. Ryan Hernandez,9,94790
64,Jonathan Kennedy,60,42766
65,Zachary Lawrence,53,53149
66,Selena Perez,90,30349
67,Ricky Butler,15,20374
68,Tracy Cole,93,83185
69,Scott Lee,69,72714
70,Marvin Smith,8,87258
71,Michael Knapp,27,18628
72,Tabitha Baker,90,93368
73,Shannon Parker,79,80058
